"n_peaks","mean_AE","total_AE","first_AE","first_load","Source"
17,4368.49118350604,74264.3501196028,662.015802215832,2.65106635516348,"Alumina 20N 20Nmin"
12,1973.70626475774,23684.4751770928,1285.68500672144,2.88186092363315,"Alumina 20N 20Nmin"
19,3857.41499097911,73290.8848286032,305.72747652342,2.48343410650855,"Alumina 20N 20Nmin"
15,5092.20992042255,76383.1488063383,451.648472261745,1.72037298045642,"Alumina 20N 20Nmin"
19,5573.88844931611,105903.880537006,881.074230694602,1.80361643097829,"Alumina 20N 20Nmin"
15,2180.72392924047,32710.8589386071,493.175532430575,2.08710922613594,"Alumina 20N 20Nmin"
17,3616.40717286245,61478.9219386617,527.075753759165,1.50663146860184,"Alumina 20N 20Nmin"
14,3199.29687291675,44790.1562208345,412.017480129359,1.4355959104657,"Alumina 20N 20Nmin"
19,2131.43749288298,40497.3123647767,234.651719856667,1.8650153570984,"Alumina 20N 5Nmin"
16,4022.02037620545,64352.3260192871,459.069091796875,2.53199728140171,"Alumina 20N 5Nmin"
19,3640.07602259948,69161.4444293901,723.563399565454,1.74724732099938,"Alumina 20N 5Nmin"
23,1636.94899391655,37649.8268600806,321.140526217415,1.12204233824802,"Alumina 20N 5Nmin"
14,2017.8070736164,28249.2990306296,1069.94182398261,1.30205233092734,"Alumina 20N 5Nmin"
19,2116.09807403106,40205.8634065901,2210.0431600585,2.5342998350371,"Alumina 20N 5Nmin"
14,2477.59946326681,34686.3924857353,243.395043449563,1.60154999426451,"Alumina 20N 5Nmin"
20,2765.16350759382,55303.2701518763,3725.20335744733,1.54256369234051,"Alumina 20N 5Nmin"
22,3250.35483903465,71507.8064587623,1157.5565213855,1.22302110636987,"Alumina 20N 5Nmin"
15,3750.36251025953,56255.4376538929,5270.26483773349,2.29673981315022,"Alumina 20N 5Nmin"
13,4016.03032188805,52208.3941845446,2500.05380633817,2.63468433058503,"Alumina 20N 5Nmin"
