"AE","Load","Depth","PeakNumber","Source"
399.676826639874,12.6256921091369,9.50549554184698,10,"Alumina 20N 20Nmin"
922.929268046126,13.8297011810147,9.962469121487,11,"Alumina 20N 20Nmin"
1484.94001023363,14.7220266494355,10.331553546214,12,"Alumina 20N 20Nmin"
4901.65204636644,15.8147945123433,10.745898401421,13,"Alumina 20N 20Nmin"
19900.7594682414,15.8344183476585,10.789550560476,14,"Alumina 20N 20Nmin"
724.492744608624,16.08760294096,10.947940966629,15,"Alumina 20N 20Nmin"
313.134254618389,17.1313243924181,11.317715398031,16,"Alumina 20N 20Nmin"
16941.5914994914,18.474713774368,11.820145133566,17,"Alumina 20N 20Nmin"
408.813545389874,18.5743064994291,11.906776061242,18,"Alumina 20N 20Nmin"
1283.70480211032,2.21507731139553,3.679573010756,1,"Alumina 20N 20Nmin"
2183.14437730564,3.53948468479206,4.753931380203,2,"Alumina 20N 20Nmin"
292.871977403292,3.72794195227962,4.89026413584099,3,"Alumina 20N 20Nmin"
534.390348985324,4.16193431279514,5.172123956462,4,"Alumina 20N 20Nmin"
3921.16000230564,5.79127957497896,6.129509140175,5,"Alumina 20N 20Nmin"
9117.45663316501,6.47443210043894,6.53143518652499,6,"Alumina 20N 20Nmin"
961.555998399391,9.59816819342706,8.01322907839599,7,"Alumina 20N 20Nmin"
1913.24789293064,9.62000574054982,8.03055555228599,8,"Alumina 20N 20Nmin"
1188.21774156345,9.84887980094405,8.15165245323598,9,"Alumina 20N 20Nmin"
307.586515977511,10.3349992591697,8.35117795553199,10,"Alumina 20N 20Nmin"
236.558012559542,10.7622640556039,8.56727675390999,11,"Alumina 20N 20Nmin"
915.989470079071,12.6972916701814,9.31774582804499,12,"Alumina 20N 20Nmin"
850.469267442355,12.766692836233,9.36181502104898,13,"Alumina 20N 20Nmin"
528.203642442355,14.3166016189285,9.92704172923999,14,"Alumina 20N 20Nmin"
11177.64999254,15.2920925520344,10.321803942954,15,"Alumina 20N 20Nmin"
281.290556504855,18.2230362082858,11.322050476429,16,"Alumina 20N 20Nmin"
907.072961782178,1.6719612917569,3.13686035130701,1,"Alumina 20N 20Nmin"
5694.0052737939,2.01104876024628,3.49809550490301,2,"Alumina 20N 20Nmin"
709.297204946242,2.38042322645145,3.86540112036599,3,"Alumina 20N 20Nmin"
3112.59877965328,3.68678134194334,4.86677650983501,4,"Alumina 20N 20Nmin"
9475.05361363765,5.69142869609385,6.07627374822599,5,"Alumina 20N 20Nmin"
6733.8900394189,6.98778777982673,6.76124931567699,6,"Alumina 20N 20Nmin"
10561.7030277001,9.17909894154824,7.80300256809699,7,"Alumina 20N 20Nmin"
471.331994985304,11.8147903480128,8.89121967119598,8,"Alumina 20N 20Nmin"
385.229791616164,11.8646789656595,8.914317024827,9,"Alumina 20N 20Nmin"
6276.6673831689,14.5337036748271,9.906148419055,10,"Alumina 20N 20Nmin"
1432.45070836421,15.4515189304225,10.264165884373,11,"Alumina 20N 20Nmin"
284.06481358882,17.5899147240281,10.964372650082,12,"Alumina 20N 20Nmin"
560.024809984962,3.26367128334289,4.48390544405902,1,"Alumina 20N 20Nmin"
2619.19699016074,3.77736497854351,4.85552756663401,2,"Alumina 20N 20Nmin"
4749.67159953574,4.10180474827153,5.07373058173201,3,"Alumina 20N 20Nmin"
559.569243578712,5.04637307258804,5.64759666652702,4,"Alumina 20N 20Nmin"
230.731078295509,6.73431816686334,6.55775340768801,5,"Alumina 20N 20Nmin"
742.599150805274,6.86498381566385,6.629043490192,6,"Alumina 20N 20Nmin"
6957.05001750449,9.58379350218399,7.86131100858699,7,"Alumina 20N 20Nmin"
12777.5285331295,11.6564995373178,8.729258244915,8,"Alumina 20N 20Nmin"
4889.46359172324,12.2126687575169,8.97569506152101,9,"Alumina 20N 20Nmin"
2495.82296672324,12.6946411685444,9.19271980079702,10,"Alumina 20N 20Nmin"
