"n_peaks","mean_AE","total_AE","first_AE","first_load","Source"
21,2314.75121709954,48609.7755590903,1132.04806303518,2.20904418357962,"Sic Stats (171)"
3,6193.79574540907,18581.3872362272,4455.72942053928,2.30661823877675,"Sic Stats (172)"
5,8152.27716349094,40761.3858174547,2372.80548380344,2.74924031475354,"Sic Stats (173)"
8,7952.75389677545,63622.0311742036,4668.0546169903,3.86093805852728,"Sic Stats (174)"
6,13279.5735707875,79677.4414247251,2377.8830597198,4.32406487478721,"Sic Stats (175)"
28,3097.00918901796,86716.2572925027,1260.92734523307,1.06465911039359,"Sic Stats (176)"
4,7022.46861308448,28089.8744523379,3171.55302470557,5.17051564337514,"Sic Stats (177)"
28,5806.51542689061,162582.431952937,3167.91243006444,0.360865040163024,"Sic Stats (178)"
7,4381.24917936057,30668.744255524,1564.14986644205,2.14216354110654,"Sic Stats (179)"
4,28873.9506816496,115495.802726598,6478.60192676674,4.68235447279236,"Sic Stats (18)"
7,5801.78252039725,40612.4776427807,3261.29294868966,1.51792300888018,"Sic Stats (180)"
16,2756.72729376498,44107.6367002397,770.71646765414,3.46562753019954,"Sic Stats (181)"
6,4514.00547065838,27084.0328239503,1078.2190326701,1.44014042361375,"Sic Stats (182)"
24,1681.75149785528,40362.0359485268,1229.6802265947,1.95037522591287,"Sic Stats (183)"
8,4896.6132739472,39172.9061915776,10347.2759173798,2.78483231970174,"Sic Stats (184)"
16,3349.26823967597,53588.2918348155,1539.59417503975,1.2111141962006,"Sic Stats (185)"
16,1547.87080773384,24765.9329237414,1468.1911660102,0.608402435842044,"Sic Stats (186)"
7,9207.11643497599,64449.815044832,3277.45592995368,2.47152647157358,"Sic Stats (187)"
7,8416.94266776178,58918.5986743325,10962.955328197,2.33621789675725,"Sic Stats (188)"
21,3346.4728230821,70275.929284724,2412.78325369966,1.35441256693004,"Sic Stats (189)"
13,7157.78873468394,93051.2535508912,1532.06494224103,4.17143185626991,"Sic Stats (19)"
21,3612.48648603222,75862.2162066766,14408.209107405,3.68119863754909,"Sic Stats (190)"
16,8390.08466417115,134241.354626738,1192.28276902955,1.67824412342878,"Sic Stats (191)"
4,7421.35267437629,29685.4106975052,5376.76966656379,3.35519124561416,"Sic Stats (192)"
1,17776.0382548749,17776.0382548749,17776.0382548749,4.39289862440619,"Sic Stats (193)"
11,2505.31142833363,27558.4257116699,913.573135986333,1.89953235891634,"Sic Stats (194)"
14,1030.25699468352,14423.5979255693,742.589692960588,5.15196064801456,"Sic Stats (195)"
3,9538.20523716032,28614.615711481,13934.6809858582,3.56324577328679,"Sic Stats (196)"
7,3640.4345885459,25483.0421198213,1431.5364823796,1.73547443136469,"Sic Stats (197)"
13,8103.29393674257,105342.821177653,1568.72734269209,1.60411083938229,"Sic Stats (198)"
25,2471.21549261218,61780.3873153045,677.712709409054,2.39522087425369,"Sic Stats (199)"
2,7626.91322777803,15253.8264555561,7195.27699730928,6.87997037509007,"Sic Stats (2)"
11,4444.65432158434,48891.1975374278,1776.10446141034,2.03069957907409,"Sic Stats (20)"
30,3011.38161461033,90341.44843831,921.099792914368,1.63803664583004,"Sic Stats (200)"
7,2498.12482979431,17486.8738085602,3042.23812848293,3.11366279128773,"Sic Stats (201)"
5,7011.58222884224,35057.9111442112,14132.3355247407,5.15470829994176,"Sic Stats (202)"
6,6144.09581493963,36864.5748896378,1507.72594189276,5.11254903625626,"Sic Stats (203)"
19,1214.94474991971,23083.9502484745,687.847321748452,4.04000848216028,"Sic Stats (204)"
18,1173.14347647622,21116.582576572,3045.0668264925,2.55243072203152,"Sic Stats (205)"
1,26677.6818150832,26677.6818150832,26677.6818150832,5.62496848723885,"Sic Stats (206)"
5,5489.27429430719,27446.371471536,3679.00959704157,7.16960557108851,"Sic Stats (207)"
9,1933.779930922,17404.019378298,1569.60623843068,2.95260791497237,"Sic Stats (208)"
5,7914.00885209064,39570.0442604532,4629.55680130939,4.09663742782316,"Sic Stats (209)"
6,2454.81500134591,14728.8900080754,1878.11138806465,1.83610707954495,"Sic Stats (21)"
5,16303.6424038775,81518.2120193873,11122.8098843462,3.02190597565845,"Sic Stats (210)"
3,45086.8397553721,135260.519266116,9819.12816683041,2.75992432995817,"Sic Stats (211)"
12,2213.33425712436,26560.0110854923,2613.74397595574,2.88734649797107,"Sic Stats (212)"
3,9637.74730232942,28913.2419069882,1877.59023852733,5.47931971969638,"Sic Stats (213)"
2,5730.24990590263,11460.4998118053,4110.55068715263,3.0068773505159,"Sic Stats (214)"
38,1235.74589044898,46958.3438370612,928.989870455147,0.87737191964442,"Sic Stats (215)"
19,15097.9492534607,286861.035815754,2470.20562039124,1.86744833586843,"Sic Stats (216)"
